कंप्यूटरगेम	कंप्यूटर+गेम
अवज्ञाकी	अवज्ञा+की
परिचायकहोगा	परिचायक+होगा
भूखलगती	भूख+लगती
गठनकिया	गठन+किया
धक्केलगाने	धक्के+लगाने
दाखिलकी	दाखिल+की
सेवाकरता	सेवा+करता
ग्रासछीन	ग्रास+छीन
मशवराकिया	मशवरा+किया
राजचलने	राज+चलने
कब्ज़ाजमाये	कब्ज़ा+जमाये
स्वीकारकरो	स्वीकार+करो
इस्तीफादेते	इस्तीफा+देते
हस्ताक्षरकिये	हस्ताक्षर+किये
लाभहुए	लाभ+हुए
चुटकीली	चुटकी+ली
संघर्षकर	संघर्ष+कर
ख्यालकिया	ख्याल+किया
सृष्टिकरे	सृष्टि+करे
विभाजनहोने	विभाजन+होने
तालीमदिलाने	तालीम+दिलाने
विस्तारकरने	विस्तार+करने
हमलेरोकना	हमले+रोकना
नामपुकारे	नाम+पुकारे
मुंहफेर	मुंह+फेर
नाककाटे	नाक+काटे
बदलावआया	बदलाव+आया
कार्यभारसँभाला	कार्यभार+सँभाला
डिजाइनकी	डिजाइन+की
निर्णयकर	निर्णय+कर
हाथमिलायें	हाथ+मिलायें
शासनकिया	शासन+किया
थक्काबन	थक्का+बन
खानाखिलाते	खाना+खिलाते
दर्जादे	दर्जा+दे
पीछेकर	पीछे+कर
दौरेकिये	दौरे+किये
बोझबन	बोझ+बन
जीवनहोने	जीवन+होने
शयनकरता	शयन+करता
अपीलकरके	अपील+करके
आगलगने	आग+लगने
कमानसंभाली	कमान+संभाली
स्नानकरना	स्नान+करना
उत्पत्तिहोना	उत्पत्ति+होना
राष्ट्रीयकरणकर	राष्ट्रीयकरण+कर
हस्तक्षेपकरके	हस्तक्षेप+करके
अनुमतिदेते	अनुमति+देते
निलम्बनकर	निलम्बन+कर
खुलासाकरता	खुलासा+करता
गोलीमार	गोली+मार
पुतलाफूंका	पुतला+फूंका
विवरणकिया	विवरण+किया
आरम्भहोता	आरम्भ+होता
नाटककरने	नाटक+करने
अनुबंधकिया	अनुबंध+किया
विचारकरते	विचार+करते
योगदानकरता	योगदान+करता
बदलालिये	बदला+लिये
ताजपहनाया	ताज+पहनाया
मत्थाटेकते	मत्था+टेकते
सुशोभितकरते	सुशोभित+करते
अर्जनकरना	अर्जन+करना
कसमखाती	कसम+खाती
रंगबदल	रंग+बदल
उत्सर्जनकरता	उत्सर्जन+करता
चेतावनीदे	चेतावनी+दे
काँटानिकालने	काँटा+निकालने
अदाकरता	अदा+करता
निदानकर	निदान+कर
क़ब्ज़ाकरना	क़ब्ज़ा+करना
खुशीमिली	खुशी+मिली
वक्तबदल	वक्त+बदल
पीठठोंकी	पीठ+ठोंकी
अभिव्यक्तिकरना	अभिव्यक्ति+करना
राहबनाई	राह+बनाई
टोपीउतारकर	टोपी+उतारकर
स्मरणदिलाते	स्मरण+दिलाते
मुलाकातकर	मुलाकात+कर
चुनौतीदेता	चुनौती+देता
योजनातैयार_कर	योजना+तैयार_कर
धैर्यरखने	धैर्य+रखने
संचालनकरते	संचालन+करते
ठप्पालग	ठप्पा+लग
सेवनकरें	सेवन+करें
हमलाबोल	हमला+बोल
इनकारकिया	इनकार+किया
द्रोहकरने	द्रोह+करने
अनुकरणकिया	अनुकरण+किया
अनुगमनकरते	अनुगमन+करते
पदार्पणकरने	पदार्पण+करने
दखलदेने	दखल+देने
निरूपणकिया	निरूपण+किया
तस्वीरखींचता	तस्वीर+खींचता
समर्पणकरने	समर्पण+करने
उपभोगकी	उपभोग+की
हाथहिला	हाथ+हिला
संपर्करहने	संपर्क+रहने
पानकिया	पान+किया
बढ़ोतरीआई	बढ़ोतरी+आई
प्राणदेकर	प्राण+देकर
पैरउखड़	पैर+उखड़
नाचकर	नाच+कर
आराधनाकरके	आराधना+करके
विचारआते	विचार+आते
भूस्खलनहुआ	भूस्खलन+हुआ
क्षमामाँगी	क्षमा+माँगी
संक्रमणकरते	संक्रमण+करते
छूटदे	छूट+दे
विकासकरने	विकास+करने
संपर्ककिया	संपर्क+किया
अलगावहोने	अलगाव+होने
समाप्तिहुई	समाप्ति+हुई
सामनाकरता	सामना+करता
शुभारंभकरेंगे	शुभारंभ+करेंगे
कार्यकिया	कार्य+किया
अवतारलेने	अवतार+लेने
नयापनलाए	नयापन+लाए
पेटकाटकर	पेट+काटकर
घेराडाला	घेरा+डाला
उत्थानकरता	उत्थान+करता
मननकरें	मनन+करें
व्यवस्थाकर	व्यवस्था+कर
चोरीकरने	चोरी+करने
नमनकरें	नमन+करें
विश्वासहोना	विश्वास+होना
आत्मघातकर	आत्मघात+कर
नकलकरने	नकल+करने
एहसासहोने	एहसास+होने
अनुभूतिहोगी	अनुभूति+होगी
मांगकरेंगे	मांग+करेंगे
दुर्बलबनाया	दुर्बल+बनाया
वितरणकरो	वितरण+करो
तेवरबदल	तेवर+बदल
विभागकरता	विभाग+करता
शेषरह	शेष+रह
निर्णयदेना	निर्णय+देना
अन्यायकरेगा	अन्याय+करेगा
आरामदिया	आराम+दिया
संधिकरे	संधि+करे
आभासहोते	आभास+होते
निर्माणकराकर	निर्माण+कराकर
भर्तीकरना	भर्ती+करना
कानफट	कान+फट
अनुसरणकरते	अनुसरण+करते
बधाईदी	बधाई+दी
महत्वरखता	महत्व+रखता
जिम्मासंभाला	जिम्मा+संभाला
टीकालगाये	टीका+लगाये
क्रोधकिया	क्रोध+किया
बस्तीबसायी	बस्ती+बसायी
करारकरके	करार+करके
ध्यानदे	ध्यान+दे
सफाईकरने	सफाई+करने
पैरजमा	पैर+जमा
प्रतिपादनकरने	प्रतिपादन+करने
अन्तकरने	अन्त+करने
साँसलीजिए	साँस+लीजिए
जारीकिए	जारी+किए
आकारबदलने	आकार+बदलने
आक्षेपकिए	आक्षेप+किए
कल्लोलकरती	कल्लोल+करती
मुंहबन	मुंह+बन
बलिदानदिए	बलिदान+दिए
मुंहखुलना	मुंह+खुलना
ख़र्चकरते	ख़र्च+करते
गलादबाया	गला+दबाया
इजाफाकरना	इजाफा+करना
तूफानमचाता	तूफान+मचाता
प्रतिकारकरने	प्रतिकार+करने
उपद्रवकरते	उपद्रव+करते
मुलाक़ातकरनी	मुलाक़ात+करनी
धोखाकरके	धोखा+करके
बहारनिकल	बहार+निकल
गन्धआती	गन्ध+आती
कानबहने	कान+बहने
गलेमिलते	गले+मिलते
पाबंदीकरने	पाबंदी+करने
विषदिए	विष+दिए
मुकदमाकर	मुकदमा+कर
दमनिकलने	दम+निकलने
मद्यपानकरने	मद्यपान+करने
दुर्बलताहोती	दुर्बलता+होती
आगबरसाने	आग+बरसाने
भविष्यबताने	भविष्य+बताने
तहबनाते	तह+बनाते
पेशाबकरते	पेशाब+करते
भाषाबनने	भाषा+बनने
नामकमाते	नाम+कमाते
रास्तादेने	रास्ता+देने
पट्टीबांधी	पट्टी+बांधी
फ़ैसलाकिया	फ़ैसला+किया
हौसलादिया	हौसला+दिया
मैचहोता	मैच+होता
आवाजउठती	आवाज+उठती
फरारहुए	फरार+हुए
हथियारडाले	हथियार+डाले
होशसम्हाले	होश+सम्हाले
यक़ीनमानिये	यक़ीन+मानिये
जंगखाकर	जंग+खाकर
मखौलकिया	मखौल+किया
पार्ककर	पार्क+कर
सलूककिया	सलूक+किया
बलिदानकिये	बलिदान+किये
बोलीलगाने	बोली+लगाने
निबटाराकरने	निबटारा+करने
समर्थनकरने	समर्थन+करने
धन्यवादकिया	धन्यवाद+किया
निरोधकरती	निरोध+करती
शापदे	शाप+दे
भूरेहोते	भूरे+होते
स्थानांतरणकिया	स्थानांतरण+किया
क़त्लकर	क़त्ल+कर
कलमकर	कलम+कर
हस्तमैथुनकिये	हस्तमैथुन+किये
गाड़ीचलाए	गाड़ी+चलाए
बच्चाजनती	बच्चा+जनती
नुस्ख़ालिखते	नुस्ख़ा+लिखते
नुकसानपहुँचा	नुकसान+पहुँचा
कैंपलगाकर	कैंप+लगाकर
मजाककरता	मजाक+करता
आपाखोते	आपा+खोते
आलोचनाकरते	आलोचना+करते
राहबताने	राह+बताने
रूपांतरणकरने	रूपांतरण+करने
बोलिंगकरने	बोलिंग+करने
फैसलालेता	फैसला+लेता
खननकरना	खनन+करना
शुरूकिया	शुरू+किया
डोरेडालने	डोरे+डालने
प्रक्षालनकरके	प्रक्षालन+करके
भेंटकिए	भेंट+किए
उधारदे	उधार+दे
रद्दोबदलकर	रद्दोबदल+कर
भुगतानकिये	भुगतान+किये
ज़ब्तकरने	ज़ब्त+करने
विदाकरते	विदा+करते
छलकरके	छल+करके
दलीलदे	दलील+दे
पुष्पखिलते	पुष्प+खिलते
सारांशनिकालने	सारांश+निकालने
खुशियाँमनाते	खुशियाँ+मनाते
उपासनाकरके	उपासना+करके
अहसासहोता	अहसास+होता
वृष्टिहो	वृष्टि+हो
लंचकिया	लंच+किया
मुक्तिदेने	मुक्ति+देने
अंकुरनिकलता	अंकुर+निकलता
मुँहताकते	मुँह+ताकते
माफ़ीमाँगूँ	माफ़ी+माँगूँ
आगउगलने	आग+उगलने
समर्थककरता	समर्थक+करता
असरकरते	असर+करते
डकैतीकरने	डकैती+करने
प्रजननकरती	प्रजनन+करती
छानबीनकी	छानबीन+की
ऑपरेशनकरने	ऑपरेशन+करने
पूछताछकरने	पूछताछ+करने
इंतकालहो	इंतकाल+हो
प्रशिक्षणदेता	प्रशिक्षण+देता
फरोख्तकरनी	फरोख्त+करनी
चित्रबनाता	चित्र+बनाता
लिफ्टकरने	लिफ्ट+करने
दावाकरता	दावा+करता
अपकारकरने	अपकार+करने
श्रवणकरके	श्रवण+करके
गेंदबाजीकरता	गेंदबाजी+करता
सूईलगाकर	सूई+लगाकर
मतदेने	मत+देने
वशकिये	वश+किये
दिमागफिर	दिमाग+फिर
धौंसदे	धौंस+दे
विनाशकिया	विनाश+किया
जुर्मानाकिया	जुर्माना+किया
खर्चकिया	खर्च+किया
तजुरबेकरना	तजुरबे+करना
मोचनकिया	मोचन+किया
न्योतादेने	न्योता+देने
संचयनकिया	संचयन+किया
आजादीदूँगा	आजादी+दूँगा
आनन्दलेने	आनन्द+लेने
यादरखूँगी	याद+रखूँगी
उल्लेखकरता	उल्लेख+करता
घोंसलाबनाते	घोंसला+बनाते
निगरानीकरने	निगरानी+करने
विवादकरते	विवाद+करते
दबावडालकर	दबाव+डालकर
चित्रांकनकिया	चित्रांकन+किया
इज्जतकरता	इज्जत+करता
खरीदारीकरती	खरीदारी+करती
प्रतिलिपिकर	प्रतिलिपि+कर
तारीफ़करते	तारीफ़+करते
निकाहकरने	निकाह+करने
ठिकानेलगाने	ठिकाने+लगाने
समारोहकरने	समारोह+करने
विक्रयकरने	विक्रय+करने
मुआयनाकरता	मुआयना+करता
विघटनकरने	विघटन+करने
कार्यान्वयनकिया	कार्यान्वयन+किया
संग्रामकर	संग्राम+कर
प्रदर्शनकिया	प्रदर्शन+किया
पूजनकिये	पूजन+किये
इत्तफाकरखती	इत्तफाक+रखती
अवस्थानकरते	अवस्थान+करते
पत्राचारसे	पत्राचार+से
अवसादआने	अवसाद+आने
साखउठ	साख+उठ
कबूलकरने	कबूल+करने
भोगकरना	भोग+करना
तपकिया	तप+किया
त्यागकरें	त्याग+करें
चूकजाता	चूक+जाता
खिंचीजा	खिंची+जा
जलाडालना	जला+डालना
छूटहो	छूट+हो
बदलीकर	बदली+कर
जमाएरखा	जमाए+रखा
घुसाजा	घुसा+जा
लगायीजा	लगायी+जा
पहचानदी	पहचान+दी
खानेलपके	खाने+लपके
हरामारा	हरा+मारा
कियाजाये	किया+जाये
काटदी	काट+दी
बनाबैठा	बना+बैठा
बोलीजाये	बोली+जाये
फूँकनेलगे	फूँकने+लगे
करदे	कर+दे
चुराली	चुरा+ली
लटकादेने	लटका+देने
लेजाई	ले+जाई
वहन_करनाबताया	वहन_करना+बताया
करताजा	करता+जा
आओबैठो	आओ+बैठो
चलीआ	चली+आ
फैलेपटना	फैले+पटना
पहचानपाता	पहचान+पाता
करनेलगेगा	करने+लगेगा
रहताहुआ	रहता+हुआ
जापाए	जा+पाए
बचरहता	बच+रहता
उलटजाती	उलट+जाती
जापाई	जा+पाई
आयाहुआ	आया+हुआ
रोकाजाना	रोका+जाना
खीचींजाती	खीचीं+जाती
उठाली	उठा+ली
खोजली	खोज+ली
उठाले	उठा+ले
भागतीजा	भागती+जा
पचादेता	पचा+देता
उतारलें	उतार+लें
झटकतेहुये	झटकते+हुये
दिखाईदेकर	दिखाई+देकर
रुकीरहती	रुकी+रहती
दिएजा	दिए+जा
बदलजाते	बदल+जाते
सोनेजाता	सोने+जाता
बदलजाती	बदल+जाती
भिजवादेता	भिजवा+देता
बहआते	बह+आते
सुलझादिया	सुलझा+दिया
डालदी	डाल+दी
बैठाहो	बैठा+हो
छूटमिलेगी	छूट+मिलेगी
डालदे	डाल+दे
डालदो	डाल+दो
सुलझालिये	सुलझा+लिये
भारखा	भा+रखा
चलानाआता	चलाना+आता
करतेचलें	करते+चलें
खायाकरते	खाया+करते
खायाकरती	खाया+करती
पहनीहुई	पहनी+हुई
बढ़चला	बढ़+चला
देखतेदेखते	देखते+देखते
निकालाजाए	निकाला+जाए
निकलआये	निकल+आये
माननीहोती	माननी+होती
गूँजतीरही	गूँजती+रही
भूलजाओ	भूल+जाओ
सोचनेसमझने	सोचने+समझने
डालेजाएँ	डाले+जाएँ
पुकारसकते	पुकार+सकते
सूखनेलगती	सूखने+लगती
सूखनेलगते	सूखने+लगते
गुजारीजा	गुजारी+जा
धमकाकर	धमका+कर
हँसतेहँसते	हँसते+हँसते
बनादेगी	बना+देगी
समझानाचाहे	समझाना+चाहे
फहरायाजाना	फहराया+जाना
बनजाता	बन+जाता
सहसकी	सह+सकी
छूनेलगीं	छूने+लगीं
सहसके	सह+सके
लौटआते	लौट+आते
घूमतेरहते	घूमते+रहते
बहतारहता	बहता+रहता
दिलातीरहीं	दिलाती+रहीं
कराहनेलगी	कराहने+लगी
ठहराजाएं	ठहरा+जाएं
बनाएरखना	बनाए+रखना
कियेजाने	किये+जाने
रूठरहा	रूठ+रहा
रोकरखने	रोक+रखने
निखरनेलगा	निखरने+लगा
लौटआती	लौट+आती
थकादेने	थका+देने
हटजाए	हट+जाए
बाँटीजा	बाँटी+जा
करदो	कर+दो
रखादिया	रखा+दिया
दीजायें	दी+जायें
बचनिकलती	बच+निकलती
बतायाजाता	बताया+जाता
खिसकादिया	खिसका+दिया
कररखा	कर+रखा
उड़जाता	उड़+जाता
सौंपदेते	सौंप+देते
कसदेते	कस+देते
भीगतारहता	भीगता+रहता
पकतारहता	पकता+रहता
धोडालते	धो+डालते
दबादेने	दबा+देने
फलताफूलता	फलता+फूलता
फेंकदेती	फेंक+देती
गिनाएजाते	गिनाए+जाते
लेजाना	ले+जाना
निकलचुके	निकल+चुके
जमादूँ	जमा+दूँ
भेजेजा	भेजे+जा
छापाजाना	छापा+जाना
झेलचुका	झेल+चुका
करबैठे	कर+बैठे
खरीददेने	खरीद+देने
कटजाते	कट+जाते
कटजाये	कट+जाये
रिझालिया	रिझा+लिया
करनेभेजा	करने+भेजा
बनायेरहते	बनाये+रहते
देखतेरहेंगे	देखते+रहेंगे
पहुँचजाएगा	पहुँच+जाएगा
बनवादो	बनवा+दो
भागआए	भाग+आए
बनायाकरते	बनाया+करते
ढालाजा	ढाला+जा
सौंपनेलगा	सौंपने+लगा
फैलारहा	फैला+रहा
ढूँढनिकालनी	ढूँढ+निकालनी
बरताजाता	बरता+जाता
जोतदेने	जोत+देने
फूटजाए	फूट+जाए
छाजाती	छा+जाती
जातारहा	जाता+रहा
निबटादिया	निबटा+दिया
सुनाईंदेने	सुनाईं+देने
बुझजाता	बुझ+जाता
मनवालेता	मनवा+लेता
जमाकरवाते	जमा+करवाते
डटेरहो	डटे+रहो
चुकापाने	चुका+पाने
ठूसदिया	ठूस+दिया
डटेरहे	डटे+रहे
रखेजाएँ	रखे+जाएँ
पकाली	पका+ली
बननेलगीं	बनने+लगीं
दिखाईदेती	दिखाई+देती
खींचीजा	खींची+जा
दिखाईदेते	दिखाई+देते
पकाईजाती	पकाई+जाती
लानेलगे	लाने+लगे
खानेलगे	खाने+लगे
करवादें	करवा+दें
ढँकरखा	ढँक+रखा
लिखाजाये	लिखा+जाये
देखपाने	देख+पाने
दियाकरता	दिया+करता
खींचाजाये	खींचा+जाये
धोईजाती	धोई+जाती
रोकपा	रोक+पा
भरदेता	भर+देता
भरारहे	भरा+रहे
लौटादेने	लौटा+देने
तोलाजाता	तोला+जाता
रखनाहोता	रखना+होता
समेटदिया	समेट+दिया
सुधरजाता	सुधर+जाता
जागिरेगा	जा+गिरेगा
तरजाते	तर+जाते
तरजाती	तर+जाती
गाताबजाता	गाता+बजाता
सुनाईदेता	सुनाई+देता
जारही	जा+रही
मनाकिया	मना+किया
उठआयेगा	उठ+आयेगा
लेटीरही	लेटी+रही
दिखाईदी	दिखाई+दी
दिखाईदे	दिखाई+दे
दलाजाता	दला+जाता
ढलजाना	ढल+जाना
लौटचलने	लौट+चलने
बोलदिया	बोल+दिया
डाललो	डाल+लो
देदीजिए	दे+दीजिए
कहाजाता	कहा+जाता
सुलझायाजा	सुलझाया+जा
खुलनेलगते	खुलने+लगते
खुदवाडाला	खुदवा+डाला
हथियालिए	हथिया+लिए
भराजाए	भरा+जाए
बिछायाजा	बिछाया+जा
चलायाजाता	चलाया+जाता
रचेबसे	रचे+बसे
रहनेदेता	रहने+देता
निकलनेलगते	निकलने+लगते
बिखरजाएगा	बिखर+जाएगा
निकलनेलगती	निकलने+लगती
जापायें	जा+पायें
डूबजायेगी	डूब+जायेगी
खेलोगेकूदोगे	खेलोगे+कूदोगे
मारली	मार+ली
बनेहो	बने+हो
बेचदी	बेच+दी
देतेरहना	देते+रहना
कियेरहते	किये+रहते
भोंकदेता	भोंक+देता
पटकनेलगी	पटकने+लगी
कहपाये	कह+पाये
कचोटतारहा	कचोटता+रहा
निकलाकरते	निकला+करते
त्यागदे	त्याग+दे
त्यागदी	त्याग+दी
बतलायाजा	बतलाया+जा
मरमिटने	मर+मिटने
ढँकदे	ढँक+दे
बनेरहेंगे	बने+रहेंगे
दीजा	दी+जा
बहनेलगेगा	बहने+लगेगा
मारडालता	मार+डालता
तलेजाने	तले+जाने
दिखाएजाते	दिखाए+जाते
पिसतेरहते	पिसते+रहते
जानेजाने	जाने+जाने
थोपाजाना	थोपा+जाना
ढकेलदेते	ढकेल+देते
मिलादेना	मिला+देना
बीतजाते	बीत+जाते
दुहलेते	दुह+लेते
करवादेंगे	करवा+देंगे
देजाता	दे+जाता
बदलडाला	बदल+डाला
दियाजाता	दिया+जाता
डरजाते	डर+जाते
डरजाती	डर+जाती
जमादेता	जमा+देता
जमाकराई	जमा+कराई
घेरदेने	घेर+देने
छीनलेती	छीन+लेती
चलाताघुमाता	चलाता+घुमाता
करवादी	करवा+दी
करवादो	करवा+दो
फेंकाजाए	फेंका+जाए
पूछनेलगे	पूछने+लगे
लिटादे	लिटा+दे
समझलिया	समझ+लिया
लेजाएँगे	ले+जाएँगे
ढकदेते	ढक+देते
सौंपदिए	सौंप+दिए
रँगवालिया	रँगवा+लिया
डाललिया	डाल+लिया
लगाडाला	लगा+डाला
मानदो	मान+दो
चलजाओ	चल+जाओ
लटकजाए	लटक+जाए
पूछबैठता	पूछ+बैठता
खोलरखे	खोल+रखे
लगायाजाये	लगाया+जाये
रखतारखता	रखता+रखता
त्यागदेंगे	त्याग+देंगे
निकालदे	निकाल+दे
बनाएरखो	बनाए+रखो
खुदवादेते	खुदवा+देते
बनाएरखे	बनाए+रखे
बनाएरखी	बनाए+रखी
पीआई	पी+आई
रखवादिया	रखवा+दिया
निपटालेने	निपटा+लेने
मानबैठा	मान+बैठा
निखारलाया	निखार+लाया
उतारलिया	उतार+लिया
निकालदिये	निकाल+दिये
निकलजाये	निकल+जाये
करवादिये	करवा+दिये
मिटजाने	मिट+जाने
जाबैठे	जा+बैठे
चुरालेते	चुरा+लेते
पालीजा	पाली+जा
खींचलिया	खींच+लिया
लगादिये	लगा+दिये
रोकदी	रोक+दी
आँकीजाती	आँकी+जाती
छिपालिया	छिपा+लिया
ढकाजाता	ढका+जाता
पिटाई_करदी	पिटाई_कर+दी
देडाली	दे+डाली
देडाले	दे+डाले
लिटादिया	लिटा+दिया
करवायाजा	करवाया+जा
रखलो	रख+लो
बचाली	बचा+ली
मना_करदिया	मना_कर+दिया
रुकजाते	रुक+जाते
मानेलें	माने+लें
हटजाती	हट+जाती
जानदिये	जान+दिये
लादेता	ला+देता
बदलदीजिए	बदल+दीजिए
लारखा	ला+रखा
लिखलिया	लिख+लिया
छूलेती	छू+लेती
रुलादेने	रुला+देने
छीनले	छीन+ले
छीनली	छीन+ली
चलेआये	चले+आये
रखवादी	रखवा+दी
रखदें	रख+दें
सुखालिया	सुखा+लिया
निखरआया	निखर+आया
हटालेने	हटा+लेने
करदेती	कर+देती
करदेते	कर+देते
देखाजाए	देखा+जाए
कियाजाते	किया+जाते
धोडालना	धो+डालना
समेटलेता	समेट+लेता
मानदिए	मान+दिए
पीलेने	पी+लेने
खिंचलिया	खिंच+लिया
चलायाजाए	चलाया+जाए
लिखवादी	लिखवा+दी
चुकायाजाता	चुकाया+जाता
लटकायेजाते	लटकाये+जाते
छूटदी	छूट+दी
खिलउठे	खिल+उठे
छूटदे	छूट+दे
चलाएजाएँ	चलाए+जाएँ
चलाएजाएं	चलाए+जाएं
माँगीजाती	माँगी+जाती
बांधीजाती	बांधी+जाती
करलीं	कर+लीं
करालिया	करा+लिया
मारेजायेंगे	मारे+जायेंगे
कियेजाएं	किये+जाएं
बुझादी	बुझा+दी
मारदेते	मार+देते
भोगकरते	भोग+करते
छूले	छू+ले
हाँकाजाता	हाँका+जाता
बिखेरदेता	बिखेर+देता
करवायीजा	करवायी+जा
घूमनेफिरने	घूमने+फिरने
दिलादूं	दिला+दूं
बनायीजाए	बनायी+जाए
ठूँसदिया	ठूँस+दिया
देदीं	दे+दीं
थमादी	थमा+दी
रोकलिया	रोक+लिया
वसूलली	वसूल+ली
ठोंकदी	ठोंक+दी
भरदिये	भर+दिये
खापी	खा+पी
डाललीं	डाल+लीं
फेंकदेते	फेंक+देते
उठालाए	उठा+लाए
चुनाजाना	चुना+जाना
भिगोदेती	भिगो+देती
थामलेते	थाम+लेते
सराहनाकिया	सराहना+किया
मलदे	मल+दे
रोकेरखा	रोके+रखा
वसूलकी	वसूल+की
दिखाईदेने	दिखाई+देने
पालापोसा	पाला+पोसा
धकेलदेने	धकेल+देने
पिलादिया	पिला+दिया
पहनलेता	पहन+लेता
चटकजाने	चटक+जाने
चलबसना	चल+बसना
रोकलेता	रोक+लेता
चटायाजाता	चटाया+जाता
पहुंचादिया	पहुंचा+दिया
थामली	थाम+ली
फैलादिया	फैला+दिया
रखदे	रख+दे
रखदी	रख+दी
छिपादिया	छिपा+दिया
फूँकदेगा	फूँक+देगा
गिरादी	गिरा+दी
गिरादो	गिरा+दो
चूसलिया	चूस+लिया
देदो	दे+दो
देदी	दे+दी
देदे	दे+दे
बुझादेते	बुझा+देते
घूमजाता	घूम+जाता
निखरजाती	निखर+जाती
बचनिकलना	बच+निकलना
डालदेंगे	डाल+देंगे
लायाजाना	लाया+जाना
रहनेखाने	रहने+खाने
दोहरादेना	दोहरा+देना
निकलली	निकल+ली
डालदिये	डाल+दिये
रखदेंगे	रख+देंगे
देदिये	दे+दिये
बेचदिए	बेच+दिए
उगादेंगे	उगा+देंगे
रखीजाती	रखी+जाती
बाँटलें	बाँट+लें
काटदें	काट+दें
कियेबैठे	किये+बैठे
निकाललीं	निकाल+लीं
फैलादी	फैला+दी
उठजाए	उठ+जाए
निगलजानी	निगल+जानी
चीरडाला	चीर+डाला
नापाजाएं	नापा+जाएं
लेटजाता	लेट+जाता
सुनरखी	सुन+रखी
घेराडाला	घेरा+डाला
ढूँढ़लिया	ढूँढ़+लिया
निकाललिये	निकाल+लिये
मरवाडाले	मरवा+डाले
स्वीकारकिया	स्वीकार+किया
पैदा_करदी	पैदा_कर+दी
काटलें	काट+लें
पीसलिया	पीस+लिया
तराशेजाने	तराशे+जाने
करलेंगे	कर+लेंगे
करवालिए	करवा+लिए
जमादिया	जमा+दिया
फूँकलेते	फूँक+लेते
मारदेना	मार+देना
देखलेते	देख+लेते
बनालो	बना+लो
जगादेती	जगा+देती
पहनलेने	पहन+लेने
दौड़आती	दौड़+आती
छिनलिया	छिन+लिया
गिरनेदी	गिरने+दी
चुनलेती	चुन+लेती
मानलेंगे	मान+लेंगे
नाचउठी	नाच+उठी
डूबजाना	डूब+जाना
निकाललाए	निकाल+लाए
डुबोदिया	डुबो+दिया
झुकालेती	झुका+लेती
ठूसदिए	ठूस+दिए
ठुकरादीं	ठुकरा+दीं
लौटादिए	लौटा+दिए
सजायाजाता	सजाया+जाता
फूलजाते	फूल+जाते
फूलजाती	फूल+जाती
बुझादें	बुझा+दें
लटकादिये	लटका+दिये
घुसेड़दी	घुसेड़+दी
करनेदें	करने+दें
माँगनेआते	माँगने+आते
काटदूँगा	काट+दूँगा
खोबैठेगा	खो+बैठेगा
त्यागबैठा	त्याग+बैठा
निकाललिया	निकाल+लिया
उठाएरखने	उठाए+रखने
लेलेता	ले+लेता
मचादिया	मचा+दिया
जागउठी	जाग+उठी
पायेंजाते	पायें+जाते
करलाए	कर+लाए
करलाई	कर+लाई
देखलिया	देख+लिया
करलाओ	कर+लाओ
कियेरखा	किये+रखा
पायाजाता	पाया+जाता
खोलदेनी	खोल+देनी
रखदेना	रख+देना
पलटदी	पलट+दी
बसजाती	बस+जाती
डालीजाएँ	डाली+जाएँ
भेजाजा	भेजा+जा
गिनेजाने	गिने+जाने
लिपटजाती	लिपट+जाती
घूमलेता	घूम+लेता
बेचाजाना	बेचा+जाना
लगालेने	लगा+लेने
आनेदेते	आने+देते
मारेजा	मारे+जा
रचलेते	रच+लेते
चलचल	चल+चल
कूदजाता	कूद+जाता
करादे	करा+दे
लौटआए	लौट+आए
झूमउठे	झूम+उठे
ढकदीजिये	ढक+दीजिये
करबैठते	कर+बैठते
खोबैठा	खो+बैठा
बदललेना	बदल+लेना
खेलाजाये	खेला+जाये
घुलतामिलता	घुलता+मिलता
लेरखी	ले+रखी
बैठेदेख	बैठे+देख
उलटदे	उलट+दे
देखाजाना	देखा+जाना
रखलेते	रख+लेते
झुकादिया	झुका+दिया
निगललिया	निगल+लिया
कहलें	कह+लें
बदलदे	बदल+दे
बदलदी	बदल+दी
ढँकलें	ढँक+लें
बनादिये	बना+दिये
खदेड़दे	खदेड़+दे
हटादिये	हटा+दिये
खानेबैठ	खाने+बैठ
त्यागनेलगे	त्यागने+लगे
सुनाईदी	सुनाई+दी
दिखायीदिया	दिखायी+दिया
रखाजाये	रखा+जाये
कहलायेजाने	कहलाये+जाने
ग़मगीनदिखता	ग़मगीन+दिखता
इतनेसे	इतने+से
बाधकबना	बाधक+बना
एकटूटे	एक+टूटे
लालरँगवा	लाल+रँगवा
आक्रामकरहते	आक्रामक+रहते
अधिकृतभाग	अधिकृत+भाग
अभिमुखहोना	अभिमुख+होना
ग्रस्तकहा	ग्रस्त+कहा
भिन्नजाने	भिन्न+जाने
संतोषीरहा	संतोषी+रहा
नगण्यहोता	नगण्य+होता
आवश्यकलगता	आवश्यक+लगता
अलगदिखाई	अलग+दिखाई
गम्भीरसी	गम्भीर+सी
कमकहा	कम+कहा
चीनीरहती	चीनी+रहती
औसतनिकालने	औसत+निकालने
पतनोन्मुखहो	पतनोन्मुख+हो
असह्यरहा	असह्य+रहा
वार्षिककर	वार्षिक+कर
प्रयुक्तजल	प्रयुक्त+जल
बेहतरदिखी	बेहतर+दिखी
प्रदर्शितकरा	प्रदर्शित+करा
